"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6737","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Tara dutt pandey","Payment Success","11312"
"6738","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Lokesh pandey","Payment Success","11312"
"6739","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Pushpesh pandey","Payment Success","11312"
"6740","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Nirmla pandey","Payment Success","11312"
"6741","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/204383","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","25-Aug-2026","Nirmla pandey","Payment Success","7272"
"6742","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/204383","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","25-Aug-2026","Govind bhallabh","Payment Success","7272"
"6743","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Govind bhallabh","Payment Success","11312"
"6744","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Chandrashekar pandey","Payment Success","10908"
"6745","Punjab","Construction of veterinary hospitals and dispensaries","WS/MP18158/2025-2026/203150","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","20-May-2026","ms vansh Brick kiln","Payment Success","20405"
"6746","Punjab","Construction of veterinary hospitals and dispensaries","WS/MP18158/2025-2026/203150","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","20-May-2026","ms vansh Brick kiln","Payment Success","5712"
"6747","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Puran mehra","Payment Success","10908"
"6748","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Negi supplier","Payment Success","113160"
"6749","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/204383","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","25-Aug-2026","Negi supplier","Payment Success","25880"
